original_id,new_id
153674,ENT9911468079
33114,PAN9295749920
5396,HOT4153079899
154292,BUT9265605214
7397,HOT8992863305
33814,OBS5062954233
35065,PAL4840762929
159077,ENT6457363768
36490,REU9053206302
7964,OPE2885577616
160554,ENT7765735188
9359,LOU7956525973
38303,POP5002505591
38650,POP5090906153
161703,BUT8617344303
39651,REU4069417149
9952,POP8787752152
39666,HOT5988210494
163384,MEN4042498452
10586,BUT8862654440
165409,TEM7512436180
10588,BUT4773054750
39948,BOU3817915312
166370,ENT7559549262
40143,POP7386537189
40899,ENT3903310988
11265,BUT2914272929
167998,LOU8308501684
11487,POP1157955073
40911,BAT9967400776
168652,BUT5412203169
41106,HOT1783914839
168695,PAS5493129648
11798,GOB6720587832
171159,ELY9826696557
42507,BUT3876037524
171658,GOB7726093353
43355,ENT8486412559
12268,POP8860047876
175338,VAU8373243327
12452,POP8913025364
43500,BUT5556711668
178188,MEN2119066231
44130,HOT8823808431
12887,POP7306550341
180950,TEM7967165462
14264,BUT1396573697
45661,BOU1794861870
45967,BOU6703120655
182744,POP7361659061
46666,MEN4633245767
16048,BUT1430898612
185575,BUT6422905597
16455,GOB4384370141
16626,LUX0244531673
47155,PAS4272666681
187570,ENT2368126533
48498,LOU0075407671
48584,HOT3167234297
189378,ENT4404304330
50738,BUT0820385433
17287,BUT6635384462
17316,ENT9913953711
191531,TEM6257453056
17994,LOU1542169041
19306,PAN2767119598
52931,BAT1549292088
192162,PAN6359837644
53353,BUT1249546532
54377,BUT4400498734
20823,PAN6305151930
21194,PAN6650977926
21419,BOU8118253060
193632,TEM4608819469
21860,BOU6923139899
55071,OPE9310461633
55239,ELY5365820683
201257,POP7177619811
55348,HOT2402636159
22158,ELY5317846547
205140,REU0101344326
22979,HOT0434329599
23441,BUT8090182768
56662,BUT2237934545
208080,PAN8743854982
57766,VAU0095910183
209025,BAT1865411475
58569,ENT7418579875
24260,BAT7531837947
26562,VAU3044972442
209796,BUT1510847731
26827,BUT3383062843
59182,PAS9497985868
212853,BUT1294317289
59959,BUT4809514733
59970,BUT2482031616
27008,MEN8425314726
27288,BUT4081855903
213360,BUT5919017839
31435,BUT4441959900
32082,REU8425017217
60868,ENT0121896885
214046,HOT1628599040
61016,BUT3060966130
298548,GOB7321129454
214578,ENT8810502067
