id,host_id_fk,listings_group
ENT9911468079,60703157,Single-listing Hosts
PAN9295749920,69933352,Single-listing Hosts
HOT4153079899,63042574,Single-listing Hosts
BUT9265605214,93008392,Single-listing Hosts
HOT8992863305,97826507,2-3 listing Hosts
OBS5062954233,89602916,Single-listing Hosts
PAL4840762929,49736288,Single-listing Hosts
ENT6457363768,22394789,Single-listing Hosts
REU9053206302,82084583,Single-listing Hosts
OPE2885577616,30603339,Single-listing Hosts
ENT7765735188,1738952,Single-listing Hosts
LOU7956525973,6268949,Single-listing Hosts
POP5002505591,72540143,2-3 listing Hosts
POP5090906153,30890887,2-3 listing Hosts
BUT8617344303,66033241,Single-listing Hosts
REU4069417149,29488518,Single-listing Hosts
POP8787752152,12125197,Single-listing Hosts
HOT5988210494,390380,Single-listing Hosts
MEN4042498452,42324951,4-9 listing Hosts
BUT8862654440,73455898,2-3 listing Hosts
TEM7512436180,77799023,Single-listing Hosts
BUT4773054750,73455898,2-3 listing Hosts
BOU3817915312,61599105,Single-listing Hosts
ENT7559549262,97116035,Single-listing Hosts
POP7386537189,75883913,Single-listing Hosts
ENT3903310988,1783101,Single-listing Hosts
BUT2914272929,60460370,Single-listing Hosts
LOU8308501684,10092815,Single-listing Hosts
POP1157955073,42123582,Single-listing Hosts
BAT9967400776,26266364,Single-listing Hosts
BUT5412203169,98054007,Single-listing Hosts
HOT1783914839,43864950,Single-listing Hosts
PAS5493129648,82275023,Single-listing Hosts
GOB6720587832,50470449,Single-listing Hosts
ELY9826696557,14496782,Single-listing Hosts
BUT3876037524,10926765,Single-listing Hosts
GOB7726093353,38989945,Single-listing Hosts
ENT8486412559,94289164,Single-listing Hosts
POP8860047876,25908533,Single-listing Hosts
VAU8373243327,79247379,Single-listing Hosts
POP8913025364,91650400,10+ listing Hosts
BUT5556711668,94167368,10+ listing Hosts
MEN2119066231,65353598,Single-listing Hosts
HOT8823808431,94167368,10+ listing Hosts
POP7306550341,16275378,2-3 listing Hosts
TEM7967165462,15111528,Single-listing Hosts
BUT1396573697,84379141,Single-listing Hosts
BOU1794861870,21326830,Single-listing Hosts
BOU6703120655,53810944,Single-listing Hosts
POP7361659061,79162456,Single-listing Hosts
MEN4633245767,29060961,Single-listing Hosts
BUT1430898612,43242366,Single-listing Hosts
BUT6422905597,12989590,Single-listing Hosts
GOB4384370141,75056069,Single-listing Hosts
LUX0244531673,57626946,2-3 listing Hosts
PAS4272666681,16418614,Single-listing Hosts
ENT2368126533,75154130,Single-listing Hosts
LOU0075407671,94167368,10+ listing Hosts
HOT3167234297,94167368,10+ listing Hosts
ENT4404304330,11694298,Single-listing Hosts
BUT0820385433,73455898,2-3 listing Hosts
BUT6635384462,50295298,Single-listing Hosts
ENT9913953711,72105028,Single-listing Hosts
TEM6257453056,99077598,Single-listing Hosts
LOU1542169041,75328759,Single-listing Hosts
PAN2767119598,45967537,2-3 listing Hosts
BAT1549292088,58042645,10+ listing Hosts
PAN6359837644,18040827,Single-listing Hosts
BUT1249546532,99530710,Single-listing Hosts
BUT4400498734,16855749,Single-listing Hosts
PAN6305151930,45967537,2-3 listing Hosts
PAN6650977926,45967537,2-3 listing Hosts
BOU8118253060,58104025,Single-listing Hosts
TEM4608819469,57731173,Single-listing Hosts
BOU6923139899,33209623,Single-listing Hosts
OPE9310461633,61432401,Single-listing Hosts
ELY5365820683,81603553,2-3 listing Hosts
POP7177619811,86824723,Single-listing Hosts
HOT2402636159,17474316,4-9 listing Hosts
ELY5317846547,90137170,Single-listing Hosts
REU0101344326,1910846,2-3 listing Hosts
HOT0434329599,79826611,Single-listing Hosts
BUT8090182768,46337235,Single-listing Hosts
BUT2237934545,80335366,Single-listing Hosts
PAN8743854982,88975731,Single-listing Hosts
VAU0095910183,35390434,2-3 listing Hosts
BAT1865411475,88214823,Single-listing Hosts
ENT7418579875,60148077,Single-listing Hosts
BAT7531837947,59918013,2-3 listing Hosts
VAU3044972442,91320243,Single-listing Hosts
BUT1510847731,66872151,2-3 listing Hosts
BUT3383062843,13929734,2-3 listing Hosts
PAS9497985868,87418146,Single-listing Hosts
BUT1294317289,83833797,Single-listing Hosts
BUT4809514733,73481394,Single-listing Hosts
BUT2482031616,93970365,Single-listing Hosts
MEN8425314726,51611505,2-3 listing Hosts
BUT4081855903,66860773,Single-listing Hosts
BUT5919017839,21250690,Single-listing Hosts
BUT4441959900,83236684,2-3 listing Hosts
REU8425017217,97852053,Single-listing Hosts
