n_id,name,average_price_per_night_per_neighbourhood
8,Élysée,382.220536165908
1,Louvre,321.213836477987
7,Palais-Bourbon,301.728813559322
6,Luxembourg,293.578220011056
16,Passy,282.847960082184
2,Bourse,257.488748874887
4,Hôtel-de-Ville,248.771634615385
3,Temple,236.536550745209
9,Opéra,215.908498860306
5,Panthéon,211.846908734053
15,Vaugirard,176.951245937161
17,Batignolles-Monceau,172.245986663374
10,Entrepôt,168.679460817912
14,Observatoire,154.929608446986
11,Popincourt,151.394831947958
12,Reuilly,138.930052867019
18,Buttes-Montmartre,134.002488654663
13,Gobelins,126.866214251091
19,Buttes-Chaumont,114.070584845866
20,Ménilmontant,108.816749343449
