ranking,n_id,name,average_booked_nights,number_of_listings
1,2,Bourse,128.66,1244
2,1,Louvre,127.3,765
3,4,Hôtel-de-Ville,121.13,1165
4,5,Panthéon,119.76,1077
5,3,Temple,118.57,1562
6,7,Palais-Bourbon,117.26,833
7,6,Luxembourg,114.47,979
8,15,Vaugirard,112.12,2181
9,8,Élysée,111.34,985
10,11,Popincourt,107.44,2740
11,9,Opéra,107.39,1491
12,10,Entrepôt,107.25,2272
13,13,Gobelins,103.3,974
14,14,Observatoire,102.22,1112
15,12,Reuilly,101.32,1134
16,16,Passy,100.27,1653
17,18,Buttes-Montmartre,99.29,3441
18,17,Batignolles-Monceau,97.38,1820
19,20,Ménilmontant,94.59,1660
20,19,Buttes-Chaumont,88.77,1674
