ranking,n_id,name,average_yearly_income,number_of_listings
1,1,Louvre,41850,765
2,2,Bourse,36801,1244
3,8,Élysée,35504,985
4,6,Luxembourg,32892,979
5,7,Palais-Bourbon,32273,833
6,3,Temple,30602,1562
7,4,Hôtel-de-Ville,30429,1165
8,5,Panthéon,26726,1077
9,16,Passy,23437,1653
10,9,Opéra,23428,1491
11,15,Vaugirard,21442,2181
12,10,Entrepôt,20277,2272
13,11,Popincourt,18196,2740
14,17,Batignolles-Monceau,16799,1820
15,14,Observatoire,15690,1112
16,12,Reuilly,15477,1134
17,18,Buttes-Montmartre,14671,3441
18,13,Gobelins,14198,974
19,20,Ménilmontant,11029,1660
20,19,Buttes-Chaumont,10984,1674
